"Quarter","StNo","HaulNo","Year","kategori","gruppnamn","lat_start_dec","long_start_dec","lat_stop_dec","long_stop_dec","djup","swept_area_km2","BALSE_area","sup_fishery_other","no_litter_per_km2","weight_litter_per_km2_kg","gruppnamn_ny"
4,16,8,2012,"F5_Övrigt naturmaterial","F_Naturmaterial",55.7347,15.5557,55.7415,15.599,62,0.091148442814,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","OTHER",680.209097225268,12.8800883893946,"Naturmaterial"
4,18,9,2012,"F5_Övrigt naturmaterial","F_Naturmaterial",55.8358,15.944,55.8458,15.9843,55,0.089958431387,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","OTHER",244.557399020846,8.89299632803079,"Naturmaterial"
4,18,9,2012,"A2_Plastbit_stycke","A_Plast",55.8358,15.944,55.8458,15.9843,55,0.089958431387,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","OTHER",11.1162454100385,0.889299632803078,"Plast"
4,18,9,2012,"F3_Papper_kartong","F_Naturmaterial",55.8358,15.944,55.8458,15.9843,55,0.089958431387,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","OTHER",33.3487362301154,0.355719853121231,"Naturmaterial"
4,23,12,2012,"F5_Övrigt naturmaterial","F_Naturmaterial",56.3285,18.4615,56.3485,18.4877,51,0.077881399458,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",372.361054138981,4.8021735947579,"Naturmaterial"
4,23,12,2012,"A1_Plastflaska","A_Plast",56.3285,18.4615,56.3485,18.4877,51,0.077881399458,"BAL-SE-AA-B_O_Gotlandshavet","SUP",12.8400363496201,0.744722108277963,"Plast"
4,23,12,2012,"D6_Övrig gummi","D_Gummi",56.3285,18.4615,56.3485,18.4877,51,0.077881399458,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",12.8400363496201,0.847442399074924,"Gummi"
4,23,12,2012,"A2_Plastbit_stycke","A_Plast",56.3285,18.4615,56.3485,18.4877,51,0.077881399458,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",12.8400363496201,0.282480799691641,"Plast"
4,23,12,2012,"A12_Övrig plast","A_Plast",56.3285,18.4615,56.3485,18.4877,51,0.077881399458,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",12.8400363496201,8.98802544473404,"Plast"
4,24,13,2012,"F5_Övrigt naturmaterial","F_Naturmaterial",57.1533,18.7988,57.1772,18.8083,38,0.073611750541,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",122.263088893494,0.298865328406319,"Naturmaterial"
