"Quarter","StNo","HaulNo","Year","kategori","gruppnamn","lat_start_dec","long_start_dec","lat_stop_dec","long_stop_dec","swept_area_km2","ANSSE_area","trend_area","sup_fishery_other","no_litter_per_km2","weight_litter_per_km2_kg","gruppnamn_ny"
3,74,39,2017,"N_Inget","N_Inget",57.6527,11.1618,57.6725,11.203,0.06704,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
3,76,40,2017,"A7_Syntetiskt rep","A_Plast",57.6808,11.4138,57.653,11.44,0.078798,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","FISHERY",12.6906774283611,0.0761440645701667,"Plast"
3,80,42,2017,"N_Inget","N_Inget",57.7,10.7978,57.6737,10.7693,0.06852,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
3,81,43,2017,"N_Inget","N_Inget",57.87,11.2108,57.8962,11.1787,0.073899,"ANS-SE-AA-B_Skagerrak","ANS-SE-SR-Nordsjon","Inget",0,0,"Inget"
3,83,44,2017,"N_Inget","N_Inget",57.9638,10.7925,57.9897,10.8237,0.081792,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
3,85,45,2017,"N_Inget","N_Inget",57.8565,10.5288,57.8853,10.5107,0.081336,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
3,90,48,2017,"N_Inget","N_Inget",58.8295,10.8013,58.8047,10.7673,0.078798,"ANS-SE-AA-B_Skagerrak","ANS-SE-SR-Nordsjon","Inget",0,0,"Inget"
3,94,50,2017,"N_Inget","N_Inget",58.4808,10.738,58.5023,10.7788,0.082224,"ANS-SE-AA-B_Skagerrak","ANS-SE-SR-Nordsjon","Inget",0,0,"Inget"
3,95,51,2017,"N_Inget","N_Inget",58.3673,10.8458,58.3365,10.8465,0.076186,"ANS-SE-AA-B_Skagerrak","ANS-SE-SR-Nordsjon","Inget",0,0,"Inget"
3,97,52,2017,"A3_Plastpåse","A_Plast",58.4402,11.0473,58.4678,11.0727,0.075372,"ANS-SE-AA-B_Skagerrak","ANS-SE-SR-Nordsjon","SUP",13.2675264023775,0.0132675264023775,"Plast"
3,97,52,2017,"A7_Syntetiskt rep","A_Plast",58.4402,11.0473,58.4678,11.0727,0.075372,"ANS-SE-AA-B_Skagerrak","ANS-SE-SR-Nordsjon","FISHERY",13.2675264023775,0.0132675264023775,"Plast"
3,100,36,2019,"A5_Monofilament","A_Plast",56.8473,12.2507,56.8213,12.2193,0.0673742232853167,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","FISHERY",14.8424716640546,0.0148424716640546,"Plast"
