year,est,lwr,upr,log_est,se,model
2013,1333.4414615708554,494.59709772016254,3263.5344842681743,7.170091521733793,0.5028194168831762,plastic
2014,2181.9260439930104,844.2571089103333,5618.288130450358,7.686214753701788,0.4918708800802299,plastic
2015,4631.996380160657,2079.941254774916,11650.505603334415,8.455399289906646,0.4341898309694698,plastic
2016,1327.1316627780202,541.7786082849252,3276.0506412702052,7.195327358245428,0.4486126405164587,plastic
2017,2572.6834914995425,1081.8322282470585,6208.260577616206,7.848002869978927,0.4500116010281363,plastic
2018,4674.33955434969,2072.774393029129,11743.617528553863,8.472090290325982,0.4392981476496754,plastic
2019,7135.802184211412,2759.9448585419086,17936.728762316674,8.86569560662605,0.47826257145543505,plastic
2020,3589.1746992319704,1439.434629298518,9469.186166167026,8.2088496552796,0.46694163724935633,plastic
2021,2628.2789293120186,1137.1317139059265,6400.963428554762,7.891418559355653,0.45463065642095307,plastic
2022,6942.080213580606,3066.2096858782716,15567.844557550452,8.847583918333868,0.43285602894414227,plastic
2013,926.3566231199677,300.21004772659103,2921.674759124614,6.839523771748692,0.6012595149230553,sup
2014,926.8431399455899,294.5268960572413,2796.150442424924,6.833475110986614,0.5928827767802651,sup
2015,2758.6405870774124,918.5837133398163,8253.1430521225,7.923834941070435,0.5538219355881662,sup
2016,465.45067820908935,132.6823162862993,1650.919513329857,6.161347533320762,0.6350989625439929,sup
2017,1275.5993252232624,460.99574698536503,3430.5313049491187,7.152740858047457,0.5260513528033254,sup
2018,1434.1932930208327,568.5774518016768,3824.6597531103953,7.2700277307646894,0.5036539560146047,sup
2019,2861.043117761877,1036.1770177009103,8082.942577515327,7.953823635031158,0.510114773555578,sup
2020,2517.756922412516,951.7749113667762,7518.252895881617,7.838134650737706,0.5325418028173081,sup
2021,2313.689758431018,894.1260250003014,6490.488748404665,7.7638361149986075,0.5053647090985478,sup
2022,5302.399341458751,2198.52431785323,14306.387175798418,8.59115402243666,0.5097551271652968,sup
2013,32.80438793264484,4.7321684199573495,248.50113721956495,3.476698635695346,0.9492720241366093,fishery
2014,844.0370393892621,261.2858658301495,3220.159371221618,6.7411012782989825,0.6613552267381814,fishery
2015,1129.1166607226553,363.3974484017784,4248.904164494834,7.045769259247263,0.5979887716558244,fishery
2016,440.4893297262068,143.5900380643809,1714.1622742018026,6.092766794135564,0.6181433502183453,fishery
2017,672.3076438618175,232.17860687809295,2408.316540649036,6.505474172710884,0.6011396598150555,fishery
2018,802.136228348053,256.7278434102874,2820.28463808919,6.6974762147568345,0.5785044698339804,fishery
2019,666.256131990574,221.18050682935956,2485.215904581194,6.538486877487193,0.6472422268518024,fishery
2020,1052.8311268535856,359.4652913216032,3607.8040700713336,6.966386496101563,0.5911779412854863,fishery
2021,335.6861457278037,102.40802004376302,1413.6960703414447,5.837496102698925,0.6570806764369124,fishery
2022,299.4219682998238,86.40302419339801,1201.97629752373,5.674882685792471,0.6714961600306416,fishery
