year,est,lwr,upr,log_est,se,model
2013,0.04813801983895333,0.024232376205842225,0.09764896873633143,-3.0445907062010957,0.3676192408473372,other
2014,0.0365943511778153,0.009738504466714194,0.1218701891346653,-3.3206865651720316,0.6124527054872083,other
2015,0.06154711350072756,0.026505258363421942,0.14243011176337766,-2.77116935175337,0.42991965083279643,other
2016,0.03783590313011123,0.013292855231653425,0.11230278087823004,-3.267378692467148,0.5187975418921577,other
2017,0.040188489960727464,0.014070323611529954,0.09204441012603581,-3.2552423453686536,0.49645473611719254,other
2018,0.055808793235154655,0.028509625659630326,0.12255034883000973,-2.8672139640745233,0.39359935119031003,other
2019,0.047691937850120616,0.021827016712197795,0.09881290846366254,-3.0457749564253285,0.3861488822009277,other
2020,0.043246837693114354,0.020361060788120985,0.09668950262556575,-3.1282482021124776,0.41313307984270625,other
2021,0.05761380737577708,0.025237318032882143,0.12847849975394315,-2.851806933819165,0.421359251886353,other
2022,0.040183772770080804,0.015722203338181077,0.09385508225020137,-3.2143397017481385,0.46548245100792124,other
2013,0.055412690037061604,0.020717684811084918,0.13478903027084332,-2.9086623806684173,0.5007690247730032,natural
2014,0.05074380036805387,0.020976463444173768,0.13062235936063693,-2.980153190956867,0.47853458824293077,natural
2015,0.054249017253881794,0.021002025166935143,0.15274466931404748,-2.9108195293853334,0.4884661304339915,natural
2016,0.0393425287971509,0.016852876342248656,0.10318906792947732,-3.2006210811839737,0.47296786569789007,natural
2017,0.047086274108721536,0.020497853156747257,0.12348485284798469,-3.040820337009971,0.46947876941612887,natural
2018,0.032208380056274306,0.012389167146384127,0.08647766807376403,-3.410208168180443,0.5148680987907932,natural
2019,0.0221072021068663,0.005938533474375885,0.10007212800904561,-3.8182269217104343,0.729179168636409,natural
2020,0.026619716356848615,0.008990857947784283,0.08270185693735616,-3.603525467382808,0.5896118537114728,natural
2021,0.020197579875615643,0.005196384528049976,0.09354710252931918,-3.8744758421801007,0.7691939967429539,natural
2022,0.022131413029235634,0.0054039261234254095,0.09841005730631386,-3.804589595029717,0.745591529156718,natural
2013,0.029187721442445615,0.016623618921506073,0.0561841196800355,-3.51777344617477,0.29114635875658085,glass
2014,0.029221338515292586,0.016620125835815715,0.056216864153022766,-3.517793566707869,0.2911148820352151,glass
2015,0.029175646584609992,0.016626110730870242,0.0561495661040141,-3.5177959764066182,0.2912296652682642,glass
2016,0.029223427344939153,0.016626407547491572,0.05621771410050119,-3.5177738066324444,0.2911037605114776,glass
2017,0.029193930517110223,0.01661681794760097,0.056156848736907364,-3.517800911312071,0.29115280880341116,glass
2018,0.0291149065376425,0.016683610015687737,0.05624348504619199,-3.5177778769590575,0.2910301961836908,glass
2019,0.029196108048611443,0.016656978008242028,0.05625481610114315,-3.517772466531636,0.2910744330727641,glass
2020,0.029115295341216717,0.01668548430864012,0.05627137628119193,-3.5177367353980022,0.2910193320125455,glass
2021,0.029222932791345912,0.0166329673482258,0.05622570267606716,-3.5177936117933304,0.2910939374708847,glass
2022,0.02911772139674336,0.016682735671230544,0.0562815056872581,-3.5177451441340453,0.29105443735344794,glass
2013,0.011467268645099704,0.0022022377812490066,0.06273207297705985,-4.469040596471202,0.8809606628953698,metal
2014,0.01792071226359827,0.0048550068313123595,0.06936676570824968,-4.017850634593267,0.6890208095811247,metal
2015,0.033532902719199065,0.010097920261467459,0.10605128278726322,-3.4066172410158986,0.6129202723241344,metal
2016,0.016581475519560483,0.004440766127535438,0.07042720579554514,-4.1045571296945615,0.7081112088260693,metal
2017,0.05404774622731385,0.015040012685656556,0.19038930849655455,-2.9187249177933507,0.6398052799636672,metal
2018,0.024454191886547384,0.006693809438238048,0.08120007783951358,-3.7131569869567684,0.6401802981427706,metal
2019,0.011334579031163281,0.0022286274681099184,0.06784371032603648,-4.480440644347706,0.880699520326528,metal
2020,0.016299213332186747,0.004671845296577482,0.06470828027873975,-4.077327943521357,0.6868235124431575,metal
2021,0.01150176235625707,0.0017466225985561983,0.058329852320324185,-4.523990833562656,0.9069172979715464,metal
2022,0.010991179093902168,0.002070143483386851,0.06342483796947349,-4.491444090194332,0.8861008917949793,metal
2013,0.024193144765912444,0.013985979948107479,0.04533904989689254,-3.701890552453468,0.2974578236498842,rubber
2014,0.024193515351463156,0.01398589521861227,0.04533716205914991,-3.701892266458346,0.2974607888811361,rubber
2015,0.024191693876492913,0.013985879042373247,0.04533741835264325,-3.701889679329747,0.2974538248485147,rubber
2016,0.02419332487666849,0.013985413162196533,0.045336977279923044,-3.7018909945237275,0.29746073412405294,rubber
2017,0.02418977210555493,0.01398651877237653,0.04534036301954894,-3.7018910538056353,0.2974552171076074,rubber
2018,0.024191863545785418,0.013985944143078726,0.04533930453392225,-3.7018855073546826,0.2974583619155581,rubber
2019,0.02419373243325634,0.01398571306714931,0.04533823391390139,-3.70188987356631,0.2974599614447838,rubber
2020,0.024192446044849603,0.013984866397215339,0.04533870320065482,-3.701894345684509,0.29746325380109995,rubber
2021,0.02419192885665514,0.013985420668165573,0.04533862974889902,-3.7018892453830663,0.29745685758925255,rubber
2022,0.024194751587073706,0.013985497980343566,0.04533909662362175,-3.701893810697292,0.29746383584905906,rubber
