term,estimate,std.error,conf.low,conf.high,model
year_f2013,-1.4174853956558038,0.2785530481663223,-1.9634393378456463,-0.8715314534659612,poisson_plastic
year_f2014,-1.0602937144194093,0.2575125052380097,-1.5650089502545903,-0.5555784785842284,poisson_plastic
year_f2015,-0.3756397811561976,0.1964790004811249,-0.7607315458176303,0.009451983505235073,poisson_plastic
year_f2016,-0.24887237981454918,0.19480193333314405,-0.630677153266284,0.13293239363718573,poisson_plastic
year_f2017,0.06857794870451332,0.18102498725922275,-0.28622450662538534,0.423380404034412,poisson_plastic
year_f2018,0.2612908581979176,0.17649648392028028,-0.08463589368378444,0.6072176100796196,poisson_plastic
year_f2019,-0.15933807300004163,0.19976680156970558,-0.550873809383424,0.23219766338334077,poisson_plastic
year_f2020,0.2153829173692204,0.18318192378896334,-0.14364705587590862,0.5744128906143494,poisson_plastic
year_f2021,-0.015994980037526703,0.18514493034812035,-0.37887237544001934,0.34688241536496595,poisson_plastic
year_f2022,-0.32202907985074924,0.21639703681784012,-0.7461594783749038,0.10210131867340533,poisson_plastic
depth_sc,0.05535307825391134,0.0797759723138508,-0.10100495431290066,0.21171111082072333,poisson_plastic
year_f2013,-2.0341451181180323,0.3675309470484751,-2.754492537536941,-1.3137976986991236,poisson_sup
year_f2014,-1.816056894583069,0.35653551701830094,-2.5148536671483064,-1.1172601220178318,poisson_sup
year_f2015,-1.282070935285961,0.2818703690896144,-1.834526707010617,-0.7296151635613047,poisson_sup
year_f2016,-1.9495714551465786,0.3537655842514602,-2.6429392592492107,-1.2562036510439465,poisson_sup
year_f2017,-1.6001034169303412,0.32015708381946034,-2.227599770611855,-0.9726070632488277,poisson_sup
year_f2018,-1.043398445605458,0.2735687943163669,-1.5795834297595828,-0.5072134614513331,poisson_sup
year_f2019,-1.8203364664794877,0.3546681087100785,-2.515473186016178,-1.1251997469427972,poisson_sup
year_f2020,-1.0143363235162315,0.277268105206679,-1.5577718237829847,-0.47090082324947813,poisson_sup
year_f2021,-1.3486351893395079,0.29018212664405424,-1.917381706519095,-0.7798886721599209,poisson_sup
year_f2022,-1.782425751558755,0.3652036869291101,-2.498211824961052,-1.066639678156458,poisson_sup
depth_sc,-0.10430112327032225,0.11770331407869508,-0.33499537972557086,0.12639313318492634,poisson_sup
year_f2013,-4.2585792222784375,1.0102567571130827,-6.238646081358308,-2.278512363198567,poisson_fishery
year_f2014,-2.7769290366869805,0.5221959932936062,-3.800414376413568,-1.753443696960393,poisson_fishery
year_f2015,-1.076804601146241,0.24114750341785357,-1.5494450228069836,-0.6041641794854986,poisson_fishery
year_f2016,-0.4960881094876183,0.2065191218459482,-0.9008581504245157,-0.09131806855072083,poisson_fishery
year_f2017,-0.15698458434004617,0.18901035933024135,-0.5274380813322933,0.21346891265220094,poisson_fishery
year_f2018,-0.19275341316261815,0.19228744601167508,-0.5696298820246912,0.18412305569945495,poisson_fishery
year_f2019,-0.4093748746423441,0.21029163699726594,-0.8215389094069561,0.0027891601222677642,poisson_fishery
year_f2020,-0.33267860095611673,0.2051945236481928,-0.7348524771314269,0.06949527521919346,poisson_fishery
year_f2021,-0.4734204962785007,0.21190114585160788,-0.8887391104304212,-0.05810188212658024,poisson_fishery
year_f2022,-0.8144671856122145,0.24871932621238524,-1.3019481072475585,-0.3269862639768706,poisson_fishery
depth_sc,0.15166803935203674,0.08591490471572888,-0.016722079625982267,0.32005815833005574,poisson_fishery
